中環,#genre#
华丽翡翠台,https://cdn.qd.je/163189/hlfct
TVB亚洲武侠,https://cdn.qd.je/163189/yzwx
无线新闻台,https://cdn.qd.je/163189/wxxwt
TVB星河,https://cdn.qd.je/163189/tvbxh
TVB星河,https://cdn.qd.je/163189/xinghe
翡翠台,http://c.123.rr.kg/163189/fct
华丽翡翠台(硬字幕),http://c.123.rr.kg/163189/jade
无线新闻台,http://c.123.rr.kg/163189/wxxw
HOY TV,http://c.123.rr.kg/163189/hoy
凤凰中文,http://c.123.rr.kg/163189/fhzw
凤凰资讯,http://c.123.rr.kg/163189/fhzx
凤凰香港,http://c.123.rr.kg/163189/fhhk
TVB1,http://c.123.rr.kg/163189/tvb1
TVBJ1,http://c.123.rr.kg/163189/j1
翡翠剧集台,http://c.123.rr.kg/163189/tvbd
华丽翡翠台,http://c.123.rr.kg/163189/hlfct
TVB亚洲武侠,http://c.123.rr.kg/163189/yzwx
TVB娱乐新闻台,http://c.123.rr.kg/163189/ylxw
无线新闻台,http://c.123.rr.kg/163189/wxxwt
TVB星河,http://c.123.rr.kg/163189/tvbxh
凤凰资讯,https://cdn.qd.je/163189/fhzx
凤凰香港,https://cdn.qd.je/163189/fhhk
凤凰中文,https://cdn.qd.je/163189/fhzw
翡翠台,https://cdn.qd.je/163189/fct
翡翠台(字幕),https://cdn.qd.je/163189/fct2
翡翠剧集台,https://cdn.qd.je/163189/tvbd
无线新闻台,https://cdn.qd.je/163189/wxxw
TVB Plus(字幕),https://cdn.qd.je/163189/tvbp
HOY TV,https://cdn.qd.je/163189/hoy
HOY TV,https://cdn.qd.je/163189/hoy2
HOY资讯台,https://cdn.qd.je/163189/hoy78
HOY国际财经台,https://cdn.qd.je/163189/hoy76
ViuTV,https://cdn.qd.je/163189/viu
ViuTVsix,https://cdn.qd.je/163189/viu6
NOW新闻台,https://cdn.qd.je/163189/now
TVB1,https://cdn.qd.je/163189/tvb1
TVBJ1,https://cdn.qd.je/163189/j1
NOW星影台,http://173.208.234.146/live/nowxy.m3u8

NOW爆谷台,http://173.208.234.146/live/nowbg.m3u8
中天新闻台,http://173.208.234.146/live/ctinews.m3u8

天映频道台,http://173.208.234.146/live/typd.m3u8
爱奇艺,https://cdn.qd.je/163189/iqiyi
天影CCM,https://cdn.qd.je/163189/ccm
CHU5,https://cdn.qd.je/163189/ch5

CHU8,https://cdn.qd.je/163189/ch8

CHU,https://cdn.qd.je/163189/chu

千禧经典台,https://cdn.qd.je/163189/tvbc

欢喜台,https://cdn.qd.je/163189/hxt

天映新加坡,https://cdn.qd.je/163189/typd
天映经典,https://cdn.qd.je/163189/ccm
华丽翡翠台,https://cdn.qd.je/163189/hlt
华丽翡翠台(硬字幕),https://cdn.qd.je/163189/jade
华丽翡翠台(新加坡),https://cdn.qd.je/163189/jade2
Astro AOD,https://cdn.qd.je/163189/aod
Astro欢喜台,https://cdn.qd.je/163189/hxt
爱奇艺,https://cdn.qd.je/163189/iqiyi
天映频道,https://cdn.qd.je/163189/typd2
天映经典,https://cdn.qd.je/163189/ccm2
TVB星河,https://cdn.qd.je/163189/tvbxh2
千禧经典台,https://cdn.qd.je/163189/tvbc
翡翠台(WebVTT字幕),https://cdn.qd.je/163189/fctvtt
明珠台(WebVTT字幕),https://cdn.qd.je/163189/mztvtt
TVB Plus(WebVTT字幕),https://cdn.qd.je/163189/tvbpvtt
黄金华剧台(WebVTT字幕),https://cdn.qd.je/163189/hjhjt
SW-TV港台,#genre#
TVB 新 聞,https://cdn6.cc.cd/163189/wxxw
無綫 新聞台,http://cdn6.123.rr.kg/163189/wxxw
TVB無綫 新聞,http://rihou.cc:555/tv/[Pd]无线新闻
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct4
翡翠 台,http://everydaytv.top/live/ggiptv/jade/playlist.m3u8
翡 翠 台,https://10.fast.hidns.vip/163189/fct/
翡翠台,http://111.221.137.203:4455/tsfile/live/1008_1.m3u8
翡翠台,http://116.77.239.26:44300/tsfile/live/0141_1.m3u8
翡翠台 HD,https://cdn6.cc.cd/163189/fct
600国际新闻台,https://live.xinflix.com/Lshape/tracks-v1a1/mono.m3u8
HOY资讯台,http://rihou.cc:555/tv/[Pd]有线新闻
HOY TV,https://cdn6.cc.cd/163189/hoy
有綫新聞,http://rihou.cc:555/tv/[Pd]有线新闻
Now 新闻台,https://cdn.123.rr.kg/163189/now
Now 新闻台,http://www.kaniptv.cn/uadl.php?etoken=O7GBbnRGS8E5uqFmeA%2FpP9pZDUEBbOoltluzysQAUOkT%2BhwMgy6MU75MO4AruwnS235INLwQddWjtZBrZQWLn9b4LPgOw9QOsQs0GRI%2F92MR2ttOBfJnbowWCIb6PEM2vBUsMgNz6wryek3GN9z9VENRf6K2qOGycU3zE0LqeJ5i9U7q0VTXq6ypTcB%2BX0wy%2FF6ykpJz%2BgM4yyo5YyCDh7AjNli8CofYp7Djy9MBTvVq9BTu8KmoYmRhH%2Bf1ltF2XOTHepCtClG1Ux%2Bt8VNCxkhI8GgLw8SVhzvzBo9mJVjLm1ABJPOCT4rh5JfCgcsgh8UbskKhcRgKSluTMQm8oA%3D%3D
Now新闻,http://rihou.cc:555/tv/[Cx]Now新闻
Now新闻,http://rihou.cc:555/tv/[Hk]Now新闻
Now新闻,http://rihou.cc:555/tv/[Mt]Now新闻
TVB PLUS,http://rihou.cc:555/tv/[Pd]Plus综合
凤凰資詢,http://rihou.cc:555/tv/[Pd]凤凰资讯
鳳凰中文,http://rihou.cc:555/tv/[Pd]凤凰中文
鳳凰香港,http://rihou.cc:555/tv/[Pd]凤凰香港
凤凰 中文,https://cdn6.cc.cd/163189/fhzw
凤凰 香港,https://cdn6.cc.cd/163189/fhhk
凤凰 资讯,https://cdn6.cc.cd/163189/fhzx
翡翠台4K,https://o11.163189.xyz/stream/tvb/fct4k/
翡翠台4K(多音轨字幕),https://o11.163189.xyz/stream/tvb/fct4k/
TVB Plus,http://cdn3.123.rr.kg/stream/tvb/tvbp/
华丽翡翠台(新加坡),http://cdn3.123.rr.kg/stream/live/jade/
天映经典台CCM,http://cdn3.123.rr.kg/stream/live/ccm/
明珠台,http://cdn3.123.rr.kg/stream/tvb/mzt/
翡翠台,http://cdn6.123.rr.kg/163189/fct
翡翠台4K,http://o11.163189.xyz/stream/tvb/fct4k/
华丽台,http://cdn6.123.rr.kg/163189/hlfct
华丽翡翠台,http://cdn6.123.rr.kg/163189/jade
TVB DRAMA翡翠剧集台,http://cdn6.123.rr.kg/163189/tvbd
TVB1,http://cdn6.123.rr.kg/163189/tvb1
TVB J1,http://cdn6.123.rr.kg/163189/j1
无線新闻,http://cdn6.123.rr.kg/163189/wxxw
娱乐新闻台,http://cdn6.123.rr.kg/163189/ylxw
澳门体育,http://cdn6.123.rr.kg/163189/amty
澳门 莲花,http://cdn6.123.rr.kg/163189/amlh
NOW星影台,http://173.208.234.146/live/nowxy.m3u8
NOW爆谷台,http://173.208.234.146/live/nowbg.m3u8
VIUTV,https://cdn.123.rr.kg/163189/viu
ViuTV,https://cdn.qd.je/163189.php?id=viu
TVB 1,https://cdn6.cc.cd/163189/tvb1
TVB 1,https://cdn.qd.je/163189.php?id=tvb1
TVBJ1,https://cdn6.cc.cd/163189/j1
TVBJ1,https://cdn.qd.je/163189.php?id=j1
TVB Plus,https://cdn3.indevs.in/stream/tvb/tvbp/
TVB星河,https://cdn3.indevs.in/stream/live/tvbxh/
TVB娱乐新闻台,https://cdn6.cc.cd/163189/ylxw
