

香港(北美),#genre#
AOD(双轨道),http://cdn3.123.rr.kg/stream/live/aod/
明珠剧集台(北美),https://amg01868-amg01868c5-tvbanywhere-us-4493.playouts.now.amagi.tv/playlist/amg01868-tvbusa-tvbpearldrama-tvbanywhereus/playlist.m3u8
TVB明珠劇集台(TVB Pearl Drama),https://amg01868-tvb-amg01868c1-tvbanywhere-us-1782.playouts.now.amagi.tv/playlist/amg01868-tvbusa-tvbpearldrama-tvbanywhereus/playlist.m3u8
新時代 温哥華FAIRCHILD 2,http://line.ciao-ott.net:80/play/live.php?mac=00:1A:79:02:8B:80&stream=1495597&extension=ts&play_token=ysDCYDOqyw
新時代 多倫多FAIRCHILD,http://line.ciao-ott.net:80/play/live.php?mac=00:1A:79:02:8B:80&stream=1495596&extension=ts&play_token=iE8hCcqt3W
华丽翡翠台(新加坡),https://cdn3.123.rr.kg/stream/live/jade/
翡翠剧集台(北美),https://amg01868-amg01868c5-tvbanywhere-us-4493.playouts.now.amagi.tv/playlist/amg01868-tvbusa-tvbdrama-tvbanywhereus/playlist.m3u8
TVB翡翠一台(TVB1),https://amg01868-amg01868c4-tvbanywhere-us-4492.playouts.now.amagi.tv/playlist/amg01868-tvbusa-tvb1-tvbanywhereus/playlist.m3u8
TVB翡翠娛樂台(TVBe),https://amg01868-amg01868c7-tvbanywhere-us-4495.playouts.now.amagi.tv/playlist/amg01868-tvbusa-tvbe-tvbanywhereus/playlist.m3u8
TVB無綫新聞台(TVB News),https://amg01868-amg01868c2-tvbanywhere-us-4490.playouts.now.amagi.tv/playlist/amg01868-tvbusa-tvbnews-tvbanywhereus/playlist.m3u8
TVB翡翠綜合台(TVBJ1),https://amg01868-amg01868c6-tvbanywhere-us-4494.playouts.now.amagi.tv/playlist/amg01868-tvbusa-tvbj1-tvbanywhereus/playlist.m3u8
TVB Vietnam(越南台),https://amg01868-amg01868c3-tvbanywhere-us-4491.playouts.now.amagi.tv/playlist/amg01868-tvbusa-tvbvietnam-tvbanywhereus/playlist.m3u8
China Travel,https://amg01314-amg01314c7-distrotv-us-10219.playouts.now.amagi.tv/playlist/amg01314-cgtn-cgtnchinatravel

CN中国,#genre#
CCTV1,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv1
CCTV2,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv2
CCTV3,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv3
